Telstra - Melbourne,12491,iPrimus,9.28,1.10,104.47,104.1,18.14,20.4,0.0,2022-06-06,12:24:07.95,22.36,https://www.speedtest.net/result/c/74a8bfcc-0374-4dc8-bfa4-c1fac536147c
Internode - Melbourne,2169,iPrimus,8.43,0.84,106.26,79.7,18.21,19.7,0.0,2022-06-06,12:24:28.45,19.99,https://www.speedtest.net/result/c/f846ec3f-057f-41a3-be9d-5b72565014be
Telstra - Sydney,12492,iPrimus,19.88,0.74,103.41,105.7,18.11,24.1,0.0,2022-06-06,12:24:54.07,25.11,https://www.speedtest.net/result/c/8298232f-8f4b-4bc3-a55e-dc7c2c4c4ec8
AARNet - Sydney,6355,iPrimus,20.84,0.27,103.14,121.5,17.81,17.9,0.0,2022-06-06,12:25:17.37,22.79,https://www.speedtest.net/result/c/7209a6af-897f-481d-8db3-c52b5544648d
Telstra - Brisbane,12493,iPrimus,34.53,0.80,103.74,109.5,17.72,19.8,0.0,2022-06-06,12:25:41.77,23.89,https://www.speedtest.net/result/c/af99f314-7c5a-4eca-bf4d-5786a9db0ad9
Internode - Brisbane,2165,iPrimus,33.57,0.47,105.96,118.0,18.12,18.7,0.0,2022-06-06,12:26:05.23,22.95,https://www.speedtest.net/result/c/7548e0dd-4ad9-4f27-ba87-aed0903682c4
Telstra - Adelaide,12495,iPrimus,19.01,1.11,104.75,112.1,18.07,22.9,0.0,2022-06-06,12:26:30.39,24.65,https://www.speedtest.net/result/c/9f0adfde-b94c-42e9-9ceb-548bb140814d
Internode - Adelaide,234,iPrimus,18.63,0.77,105.54,96.0,18.31,15.6,0.0,2022-06-06,12:26:50.31,19.4,https://www.speedtest.net/result/c/4f0b3f64-9969-4dee-a0eb-8e141b2448cb
Telstra - Perth,12494,iPrimus,48.89,0.90,104.67,126.9,17.19,21.1,0.0,2022-06-06,12:27:16.79,25.98,https://www.speedtest.net/result/c/cc06fe2b-94f2-4911-aeec-cea8952fed96
AARNet - Perth,6153,iPrimus,46.26,1.30,98.74,127.4,17.60,17.6,0.0,2022-06-06,12:27:41.72,24.41,https://www.speedtest.net/result/c/977801cc-4e5a-4971-a181-30a572145bdf
Vocusgroup NZ - Auckland,5749,iPrimus,43.71,0.99,102.52,121.4,17.79,22.3,0.0,2022-06-06,12:28:07.98,25.75,https://www.speedtest.net/result/c/78ec2d09-b610-4be8-a869-51e8704c4552
