Internode - Adelaide,234,iPrimus,17.89,0.46,106.32,111.3,18.47,16.1,0.0,2022-06-06,01:45:53.51,20.67,https://www.speedtest.net/result/c/42576f48-a78f-4649-b771-d649425fc475
Tigo Guatemala - Guatemala City,252,iPrimus,269.22,0.62,100.03,147.9,14.20,18.3,0.0,2022-06-06,01:46:51.41,33.4,https://www.speedtest.net/result/c/78d86d3c-e9e4-4e1e-b0ad-c88d6061d461
South Central Internet - Cedar City; UT,285,iPrimus,264.32,0.72,102.79,152.9,16.30,28.0,0.0,2022-06-06,01:48:12.95,36.94,https://www.speedtest.net/result/c/663e2e1a-18fd-4881-ad7f-5b00706510f1
Skynet DC - Warsaw,338,iPrimus,332.79,0.31,49.41,71.6,9.40,16.6,0.0,2022-06-06,01:50:02.59,36.38,https://www.speedtest.net/result/c/3f73b3ab-777d-4b5a-9555-29d8546df794
Connecting Point - Norfolk; NE,383,iPrimus,205.19,0.76,100.90,147.7,14.76,26.0,0.0,2022-06-06,01:51:38.22,34.77,https://www.speedtest.net/result/c/bbbb3e49-3ddf-48e8-8a01-d5f5f1d44a00
Unidata - Rome,395,iPrimus,289.50,0.90,101.09,143.2,16.83,29.5,0.0,2022-06-06,01:52:30.77,35.97,https://www.speedtest.net/result/c/cc025460-53a1-4cb5-a378-194aafa71bdc
Faroese Telecom - Tórshavn,462,iPrimus,354.56,0.64,62.53,87.8,9.25,16.3,0.0,2022-06-06,01:54:39.37,37.42,https://www.speedtest.net/result/c/fda83702-5d92-4ac9-9505-7ec97943a78c
NOW - Napier,465,iPrimus,51.68,1.38,106.80,146.8,17.62,15.6,0.0,2022-06-06,01:55:07.98,24.96,https://www.speedtest.net/result/c/4f65caba-0f91-418e-b288-0bda41f329f1
Login Inc. - Tucson; AZ,509,iPrimus,272.58,1.14,100.46,139.7,14.55,25.4,0.0,2022-06-06,01:56:43.41,35.2,https://www.speedtest.net/result/c/8a82295b-f93b-4bac-9653-ba3c847cca59
Pioneer Wireless - Presque Isle; ME,534,iPrimus,316.60,1.29,65.07,91.0,14.51,25.2,0.0,2022-06-06,01:57:54.05,36.42,https://www.speedtest.net/result/c/ec908400-8157-468d-a8ec-7eb3d69de495
