Adelaide,Internode,234,MyRepublic,36.38,0.35,722.55,947.0,37.04,26.4,0.0,2022-06-13,15:04:18.83,22.09,400fb8f6-304a-457d-b7d8-55dd55a01169
Perth,Telstra,12494,MyRepublic,67.04,0.44,528.46,649.5,31.55,55.6,0.0,2022-06-13,15:05:24.62,33.56,1f5ea28f-97d0-4e5f-b7fc-caa00230e26e
Perth,AARNet,6153,MyRepublic,61.76,0.40,602.18,952.1,33.01,45.0,0.9,2022-06-13,15:05:59.19,34.57,f923a70a-f1a8-4900-92d7-c1ad66200369
Auckland,Chorus Fibre Lab,28463,MyRepublic,40.89,0.15,95.58,116.6,34.27,39.7,0.0,2022-06-13,15:06:27.85,28.66,42feaf50-e083-48d7-86f8-765f5213f695
Auckland,MyRepublic Group Ltd,34083,MyRepublic,38.73,0.25,580.50,1126.4,32.24,43.9,0.0,2022-06-13,15:06:58.90,31.05,7c836ca6-7917-41e6-ba5d-a3e7f10ce399
Tokyo,i3D.net,21569,MyRepublic,205.70,0.44,455.77,695.2,10.77,19.5,0.0,2022-06-13,15:07:36.91,38.0,232b0606-2ed1-4296-9399-9eae1ca4af5e
Tokyo,fdcservers.net,28910,MyRepublic,280.71,0.35,230.23,367.2,8.47,15.3,0.0,2022-06-13,15:08:12.93,36.02,bfc5538f-ade5-4ae3-96f3-62ea32b6975e
Singapore,i3D.net,40508,MyRepublic,140.30,0.58,491.86,781.6,14.01,24.9,0.0,2022-06-13,15:08:50.28,37.35,dfcbcaa9-8867-4826-ac48-f08ce163279a
Singapore,GSL Networks,50344,MyRepublic,107.85,0.16,505.68,817.8,21.81,38.7,5.9,2022-06-13,15:09:23.68,33.39,95a14a04-8613-42c9-974c-36dc4c244270
Mumbai,Airtel Broadband,19081,MyRepublic,198.64,0.36,406.16,591.6,10.44,10.2,0.4,2022-06-13,15:09:55.65,31.97,b596a28c-0145-41f1-a4df-70bbb3eda5eb
Mumbai,Tata Teleservices Limited,47668,MyRepublic,222.84,0.23,378.81,559.1,9.19,13.6,0.0,2022-06-13,15:10:30.00,34.34,b7b67994-38ca-4887-97a4-f6894b0cc885
Berlin,Deutsche Telekom,30907,MyRepublic,335.86,0.34,468.25,667.0,4.92,8.9,0.4,2022-06-13,15:11:07.23,37.23,8f9d392c-e577-4498-8510-03156f356c96
Berlin,SysEleven GmbH,30593,MyRepublic,328.66,0.26,230.51,300.2,8.74,15.4,0.0,2022-06-13,15:11:44.61,37.37,c296c84c-bd9b-473d-b807-9519da2575dc
Amsterdam,KPN,26996,MyRepublic,307.55,1.23,390.84,548.3,6.94,6.3,0.0,2022-06-13,15:12:15.05,30.44,913acd28-376f-41b1-8e27-49af9193414e
Amsterdam,Clouvider Ltd,35058,MyRepublic,313.65,0.15,282.96,381.8,6.85,7.4,0.0,2022-06-13,15:12:50.24,35.19,e00ca2e1-b084-459d-96c1-da2fbcedea08
London,Vodafone UK,24281,MyRepublic,293.71,0.23,421.11,569.0,6.14,10.9,3.8,2022-06-13,15:13:27.51,37.27,118e8718-bc14-4c69-a1df-1add9cd4798f
London,Swish Fibre,34948,MyRepublic,301.84,0.50,415.61,609.3,11.11,19.9,3.8,2022-06-13,15:14:04.14,36.62,d18e4546-de49-4981-b7fc-3f5c0981578a
Madrid,i3D.net,40509,MyRepublic,332.97,0.40,301.72,393.8,7.65,13.1,0.4,2022-06-13,15:14:44.53,40.39,57ee2de7-6b1a-403a-8ff8-07ee6217f3fd
Madrid,Avatel Telecom,37211,MyRepublic,320.77,0.30,367.72,507.5,5.57,5.6,0.4,2022-06-13,15:15:17.08,32.56,4318125b-7d12-4a2d-9279-a2788cd3a3d8
Helsinki,Telia,14928,MyRepublic,319.91,0.15,259.38,334.8,7.25,13.1,0.0,2022-06-13,15:15:54.33,37.25,b934fd63-4f34-4ae4-9dce-3277dae6ae31
Helsinki,RETN,31122,MyRepublic,336.04,0.36,383.08,557.6,8.57,14.9,2.5,2022-06-13,15:16:31.39,37.06,8511221b-5261-439d-90d6-9c631eb1a028
Los Angeles; CA,Frontier,14236,MyRepublic,199.71,0.41,461.07,652.5,11.95,21.5,0.4,2022-06-13,15:17:07.36,35.96,6dd0bc35-73d1-4a0b-972b-609792695bc4
Los Angeles; CA,Spectrum,16974,MyRepublic,163.84,0.13,306.92,499.8,13.10,22.5,0.8,2022-06-13,15:17:42.64,35.28,b97cc5b9-c767-4fa0-8dda-0688deef4efe
Chicago; IL,Frontier,14228,MyRepublic,230.23,0.36,394.17,512.1,6.91,12.0,0.0,2022-06-13,15:18:19.76,37.12,53c49ba7-3836-4e24-9824-e497a3c01fdf
Chicago; IL,Windstream,17384,MyRepublic,209.68,0.21,387.97,567.3,11.32,19.6,0.4,2022-06-13,15:18:55.66,35.9,26444889-06c9-408a-b382-92e7cf667233
Dallas; TX,Frontier,14238,MyRepublic,224.85,0.18,408.22,569.9,8.84,15.5,0.0,2022-06-13,15:19:32.20,36.54,ca7d594a-4a28-4388-b8ab-c7502a337d5a
Dallas; TX,Windstream,17386,MyRepublic,185.73,0.35,372.01,576.4,14.58,26.6,0.8,2022-06-13,15:20:06.77,34.57,066bafcc-da0b-4f4e-ac9c-733434582584
Miami; FL,Frontier,14237,MyRepublic,252.73,0.13,315.19,408.3,7.83,13.9,0.0,2022-06-13,15:20:42.24,35.47,0cd02f41-22c3-4f9d-9c4b-7825be9aaf80
