Telstra - Melbourne,12491,iPrimus,8.98,0.76,104.15,95.7,17.74,20.3,0.0,2022-06-06,17:46:36.46,22.19,https://www.speedtest.net/result/c/7556435f-303b-4c43-8918-6eb15a38275a
Internode - Melbourne,2169,iPrimus,9.96,1.49,105.38,96.0,18.41,22.3,0.0,2022-06-06,17:46:59.52,23.06,https://www.speedtest.net/result/c/d5d1002a-23c1-4ad5-99c2-6d90f27535cf
Telstra - Sydney,12492,iPrimus,19.38,1.19,99.89,124.9,18.18,23.8,0.0,2022-06-06,17:47:26.33,26.81,https://www.speedtest.net/result/c/ffdb8673-159f-44ac-909a-c045770fe3cc
AARNet - Sydney,6355,iPrimus,20.81,0.74,101.06,105.9,18.12,18.7,0.0,2022-06-06,17:47:48.52,22.18,https://www.speedtest.net/result/c/58cc6959-15f8-4dbd-9b1d-cb5f9750b704
Telstra - Brisbane,12493,iPrimus,31.33,1.09,100.13,133.3,17.37,24.1,0.0,2022-06-06,17:48:16.57,28.05,https://www.speedtest.net/result/c/3ca5b56f-eac6-417b-9080-c75b8fd917c4
Internode - Brisbane,2165,iPrimus,34.49,1.22,104.41,125.9,18.28,16.8,0.0,2022-06-06,17:48:39.48,22.91,https://www.speedtest.net/result/c/7035b9ab-23f8-4e7a-8325-9278e6a14b88
Telstra - Adelaide,12495,iPrimus,21.28,0.57,102.41,111.6,18.21,22.3,0.0,2022-06-06,17:49:03.81,24.32,https://www.speedtest.net/result/c/85c8f7ce-c1cf-48e7-81d3-f38f89b5b26a
Internode - Adelaide,234,iPrimus,18.34,1.25,105.74,114.5,18.38,15.1,0.0,2022-06-06,17:49:24.55,20.74,https://www.speedtest.net/result/c/fa62f713-7368-49e6-8cca-b83af7a37b09
Telstra - Perth,12494,iPrimus,46.34,0.65,103.21,120.4,17.89,21.9,0.0,2022-06-06,17:49:50.10,25.55,https://www.speedtest.net/result/c/8a46c472-6692-4300-90a2-96c12f7b03d2
AARNet - Perth,6153,iPrimus,47.33,1.68,102.28,125.4,17.89,20.7,0.0,2022-06-06,17:50:15.42,25.32,https://www.speedtest.net/result/c/b804930b-b526-4e08-a13b-2cb6eb60fa8d
Chorus Fibre Lab - Auckland,28463,iPrimus,50.53,2.03,107.41,160.4,18.01,30.0,0.0,2022-06-06,17:50:51.37,35.95,https://www.speedtest.net/result/c/62f8af71-ca2e-4ac9-92eb-e5120fd2a4ab
MyRepublic Group Ltd - Auckland,34083,iPrimus,48.91,1.21,104.85,140.1,17.95,31.8,0.0,2022-06-06,17:51:20.82,29.44,https://www.speedtest.net/result/c/861be34b-0442-4bea-9190-30e406a34586
i3D.net - Tokyo,21569,iPrimus,174.72,1.02,105.60,174.8,17.14,23.4,0.0,2022-06-06,17:51:56.43,35.61,https://www.speedtest.net/result/c/02f85adf-5928-4472-a9f3-43fe1ecd9558
fdcservers.net - Tokyo,28910,iPrimus,178.70,2.33,87.55,139.1,17.20,20.3,0.0,2022-06-06,17:52:28.12,31.68,https://www.speedtest.net/result/c/1b661086-dc4f-468a-8636-f2ccdd929026
i3D.net - Singapore,40508,iPrimus,90.83,1.34,99.25,121.8,17.34,24.5,0.0,2022-06-06,17:52:59.87,31.75,https://www.speedtest.net/result/c/fbc0aafd-a9b3-4473-babc-a11743ec6e85
GSL Networks - Singapore,50344,iPrimus,92.19,0.94,107.78,185.8,17.68,31.2,0.0,2022-06-06,17:53:32.49,32.62,https://www.speedtest.net/result/c/d28c5026-c967-4249-923f-e8cc0574add7
Airtel Broadband - Mumbai,19081,iPrimus,154.57,3.09,102.79,174.0,16.15,22.8,0.0,2022-06-06,17:54:04.80,32.31,https://www.speedtest.net/result/c/d91fe49b-d981-499f-b1c7-5b9243933552
