Adelaide,Internode,234,iPrimus,17.72,2.44,105.60,97.5,18.46,18.4,0.0,2022-06-07,00:42:20.49,21.17,47ca6f2e-a308-4971-91f3-f7d0216569a2
Guatemala City,Tigo Guatemala,252,iPrimus,268.28,1.37,94.10,138.2,14.83,26.2,0.0,2022-06-07,00:43:21.38,35.52,57a3d8a6-a73e-4890-8264-f21ca5df85e6
Cedar City; UT,South Central Internet,285,iPrimus,266.98,0.26,97.44,144.3,13.53,24.0,0.0,2022-06-07,00:44:46.17,37.68,1fbc4373-1249-4785-b296-eaccb5e37d4e
Warsaw,Skynet DC,338,iPrimus,328.79,0.60,55.91,79.1,10.52,18.4,0.0,2022-06-07,00:46:36.97,36.26,a49fb9c6-e781-47b7-88e4-1fb2fa763313
Norfolk; NE,Connecting Point,383,iPrimus,205.68,0.68,95.89,134.1,15.58,23.3,0.0,2022-06-07,00:48:13.73,34.26,4d75ba21-afcb-4605-8cd5-cd4d4f421bed
Rome,Unidata,395,iPrimus,287.21,0.26,78.58,113.2,14.84,26.1,0.0,2022-06-07,00:49:05.72,36.14,a50fa985-b945-40b5-84aa-67ab68238ad7
Tórshavn,Faroese Telecom,462,iPrimus,354.41,0.31,74.67,102.6,13.04,22.5,0.0,2022-06-07,00:51:17.23,37.84,c0dd9d20-fa1d-4e18-9f9d-2c1f5288a791
Napier,NOW,465,iPrimus,56.43,1.12,107.60,162.4,18.10,22.7,0.0,2022-06-07,00:51:48.58,28.24,0d926376-6bdb-4cb4-b54e-4d6040bd9d9a
Tucson; AZ,Login Inc.,509,iPrimus,273.70,0.76,95.98,138.9,16.74,29.3,0.0,2022-06-07,00:53:24.62,36.03,22843c90-2d1e-469e-9560-c55dea5a8086
Presque Isle; ME,Pioneer Wireless,534,iPrimus,308.74,0.66,78.35,105.0,13.89,24.5,0.0,2022-06-07,00:54:34.06,36.41,8c3108e2-b5de-42d4-acf4-b8d8b027b255
Manama,Batelco,574,iPrimus,186.89,1.06,93.35,157.7,17.62,30.7,0.0,2022-06-07,00:56:03.39,35.71,b63de3bc-d7bb-4aed-86c2-8a59ac5590fc
Prince Rupert; BC,CityWest,577,iPrimus,276.45,1.98,99.99,150.1,14.82,26.2,0.0,2022-06-07,00:56:42.13,35.99,31dfd541-848f-4e95-aace-51fd722440cf
San Francisco; CA,Unwired,603,iPrimus,176.85,0.63,89.37,144.7,16.61,20.6,0.0,2022-06-07,00:57:49.47,32.1,d4676e84-e6e3-4676-81a0-4856b329b3ec
Riyadh,Saudi Telecom Company (STC),608,iPrimus,207.30,2.63,105.72,155.0,16.21,25.6,0.0,2022-06-07,00:58:32.12,37.18,e1146c38-c78f-4d08-b490-cea4ccfd625a
Limassol,PrimeTel,610,iPrimus,367.28,0.62,78.21,105.0,10.35,18.0,0.0,2022-06-07,00:59:10.65,37.14,4c1d44ff-a901-44e5-9e49-c16aefeffb98
Male,DHIRAAGU,655,iPrimus,142.81,1.31,105.65,145.9,17.12,31.0,0.0,2022-06-07,01:00:46.38,32.6,8cfee9b7-d83e-4109-9788-0134763e8f45
Timisoara,Bensoft Telecom,668,iPrimus,303.76,1.11,61.68,88.5,12.77,21.6,0.0,2022-06-07,01:01:39.72,36.77,37cff262-975b-40f4-967f-c1aa65416dd8
Kosice,ANTIK Telecom,691,iPrimus,332.83,0.45,64.45,93.2,12.63,22.1,0.0,2022-06-07,01:02:46.65,37.27,0e1ce95a-46a0-4026-9008-6afeec2c9711
Nassau,BTC,731,iPrimus,310.93,0.50,72.71,106.0,12.74,22.4,0.0,2022-06-07,01:04:16.71,37.34,e4a378ab-d912-4efd-b4c3-bc204f64074c
Mount Pleasant; MI,CMS Internet,735,iPrimus,285.37,0.82,104.10,144.8,13.74,24.1,0.0,2022-06-07,01:04:56.94,36.16,b527d052-d0e6-4d01-8632-9c1de2da56bd
Galway,Airwire,748,iPrimus,296.36,1.06,76.90,103.8,12.61,13.0,0.0,2022-06-07,01:05:48.18,35.04,f90b5946-17d2-40a8-81c8-f42080c48d3a
Bozeman; MT,Montana Opticom LLC,783,iPrimus,283.50,0.41,32.43,46.9,16.16,27.5,0.0,2022-06-07,01:07:10.27,36.37,70df7f20-f289-4eca-8b56-2a9c9d6d864d
Germantown; WI,Ethoplex; LLC,789,iPrimus,287.23,0.47,91.18,140.5,16.34,27.6,0.0,2022-06-07,01:07:53.69,36.26,3e72a1f0-c96d-47a5-a6c4-a56b9d534986
Jakarta,Biznet Networks,797,iPrimus,144.38,0.89,103.44,167.3,17.79,25.6,0.0,2022-06-07,01:08:35.59,32.54,1246189a-bad5-48c9-ab66-17ed67077767
St. George; UT,Infowest,806,iPrimus,207.14,1.12,47.35,58.8,16.07,29.0,0.0,2022-06-07,01:09:21.87,34.54,4bf8c064-d4d3-45fe-850b-b2ed82ccde80
